nodes	type
Vegetables_GH123	GH
Vegetables_GH125	GH
Vegetables_GH127	GH
Vegetables_GH13	GH
Vegetables_GH130	GH
Vegetables_GH133	GH
Vegetables_GH137	GH
Vegetables_GH138	GH
Vegetables_GH139	GH
Vegetables_GH140	GH
Vegetables_GH141	GH
Vegetables_GH142	GH
Vegetables_GH143	GH
Vegetables_GH144	GH
Vegetables_GH145	GH
Vegetables_GH15	GH
Vegetables_GH18	GH
Vegetables_GH2	GH
Vegetables_GH20	GH
Vegetables_GH23	GH
Vegetables_GH24	GH
Vegetables_GH25	GH
Vegetables_GH26	GH
Vegetables_GH28	GH
Vegetables_GH29	GH
Vegetables_GH3	GH
Vegetables_GH30	GH
Vegetables_GH31	GH
Vegetables_GH32	GH
Vegetables_GH33	GH
Vegetables_GH35	GH
Vegetables_GH36	GH
Vegetables_GH38	GH
Vegetables_GH39	GH
Vegetables_GH42	GH
Vegetables_GH43	GH
Vegetables_GH5	GH
Vegetables_GH51	GH
Vegetables_GH53	GH
Vegetables_GH55	GH
Vegetables_GH57	GH
Vegetables_GH63	GH
Vegetables_GH65	GH
Vegetables_GH66	GH
Vegetables_GH67	GH
Vegetables_GH73	GH
Vegetables_GH74	GH
Vegetables_GH76	GH
Vegetables_GH77	GH
Vegetables_GH78	GH
Vegetables_GH84	GH
Vegetables_GH88	GH
Vegetables_GH89	GH
Vegetables_GH9	GH
Vegetables_GH92	GH
Vegetables_GH95	GH
Vegetables_GH97	GH
Vegetables_GT14	GT
Vegetables_GT19	GT
Vegetables_GT2	GT
Vegetables_GT20	GT
Vegetables_GT26	GT
Vegetables_GT27	GT
Vegetables_GT28	GT
Vegetables_GT3	GT
Vegetables_GT30	GT
Vegetables_GT35	GT
Vegetables_GT4	GT
Vegetables_GT5	GT
Vegetables_GT51	GT
Vegetables_GT83	GT
Vegetables_GT9	GT
Vegetables_PL10	PL
Vegetables_PL11	PL
Vegetables_PL26	PL
Vegetables_PL8	PL
Vegetables_CBM44	CBM
Legumes_GT5	GT
