Cazyme	MCTs29	MCTs37	MCTs05	MCTs04	MCTs07	MCTs06	MCTs01	MCTs03	MCTs28	MCTs27	MCTs26	MCTs25	MCTs24	MCTs23	MCTs22	MCTs21	MCTs20	MCTs36	MCTs09	MCTs08	MCTs16	MCTs31	MCTs14	MCTs15	MCTs12	MCTs13	MCTs10	MCTs11	MCTs18	MCTs19	MCTs32	MCTs33	MCTs34	MCTs35
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48	0.00341394	0.001641325	0.001174776	0.00112099	0.002320773	0.001584269	0.002259838	0.001369644	0.002882141	0.002759664	0.002991894	0.001710655	0.000304304	0.001254491	0.001135813	0.001655957	0.002251414	0.003409608	0.00173717	0.00130966	0.00190808	0.001814556	0.001928307	0.002019289	0.001992186	0.001768106	0.002687639	0.002039833	0.001471896	0.001048921	0.000850865	0.001777051	0.001622189	0.001397015
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM5	0	0	0	0	0	0	0	0	3.43E-05	0	0	0	0	0	0	0	0	0	1.03E-05	0	0	0	0	0	8.59E-06	0	0	0	6.35E-05	1.33E-05	0	1.09E-05	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM50	0.001991465	0.001056223	0.001212672	0.001053923	0.002033841	0.001351288	0.001597097	0.001067255	0.002504718	0.001561518	0.001749254	0.001252444	0.001039705	0.001387543	0.001518671	0.001322294	0.002545077	0.002055612	0.00136492	0.000679608	0.001642608	0.001521581	0.00210136	0.003797468	0.001949251	0.0033322	0.001948087	0.002464799	0.00116481	0.000650596	0.001585174	0.001809757	0.002989917	0.000682752
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM51	0	0	0.000795816	0.000402407	0.00020254	0.000652346	0.000901762	0	6.86E-05	0.00124725	0.00046838	0.000936787	0	0.001045409	0.000382858	0	0.000430705	0.000356963	0.001333899	0.000141585	0	8.51E-05	0	0.000542495	0.000317719	0	0.000198416	0.000764938	0	0.000199162	0	0.000109022	0.000508922	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM54	0	0	0	0	0	0	0	0	0.000205867	0	4.78E-05	0	0	0	0	0	5.87E-05	0	3.10E-05	0	0.000116144	0	0	0	0	0	0	5.67E-05	0	0	6.99E-05	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM56	0	0	0	8.62E-05	0	0	0	0	0	0	0	4.07E-05	0	0.000171067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311641	0	0	0	0	0.000127231	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM57	0	0.001276586	0.002065333	0.001954547	0.001257437	0	0.00040199	0.001120618	0.000892091	0.000491043	0.000401468	0.001211714	0.002783114	0.000608238	0.000931622	0.001779535	0.000195775	0.001674032	0.000579057	0.001833524	0.00091256	0.001247507	0.001211372	0	0.000798592	0.001700102	0.000685438	0.00069411	0.000868313	0.001168418	0.001608485	0.000665031	0.000349884	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM58	0.001991465	0.000615497	0.000833712	0	0	0	0	0	0	0	0.000344116	0.000305474	0	0	0.000140381	0	0	0	0	5.66E-05	0.000381616	0	0	6.03E-05	0.000386415	0	0	0	0	0	0.00024477	0.00015263	0	5.25E-05
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM6	0	0.001618529	0.000341064	0.000891044	0.001130849	0	0.00054323	0.000924954	0.000789158	0.001207967	0.000946318	0.002321603	0.001432765	0.000399156	0.000242477	0.000296589	0.00046986	0.001280142	0.001426961	0.000438913	0.000630496	0.002684031	0.00091471	0.000120555	0.001064789	0.001734104	0.000523097	0.000651613	0.000497692	0.000590848	0.002575908	0.001482693	0.000286269	0.002552441
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM61	0	0	0	0.004014487	0.00030381	0	6.52E-05	0	0.000205867	0	0	0.001761567	0	0	3.83E-05	0	0	0	0.001230496	0.000155743	0	0.000453639	7.42E-05	0	0	0	0	0	9.53E-05	5.97E-05	6.99E-05	0.000654129	0	0
