#queryid	MCT.f.0103	MCT.f.0104	MCT.f.0106	MCT.f.0107	MCT.f.0108	MCT.f.0109	MCT.f.0110	MCT.f.0111	MCT.f.0112	MCT.f.0113	MCT.f.0114	MCT.f.0115	MCT.f.0116	MCT.f.0117	MCT.f.0118	MCT.f.0119	taxonomy
cazy_1311_gene_34247	1.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM11
cazy_0334_gene_15696	2.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_1378_gene_35778	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	3.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0043_gene_10703	0.0	1.0	5.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	4.0	2.0	0.0	2.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0616_gene_20225	0.0	0.0	2.0	1.0	1.0	8.0	0.0	0.0	9.0	2.0	0.0	5.0	6.0	5.0	5.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0976_gene_2721	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0983_gene_2723	1.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_1073_gene_28768	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	2.0	0.0	3.0	4.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_1900_gene_7775	7.0	7.0	3.0	3.0	4.0	3.0	0.0	0.0	4.0	0.0	0.0	11.0	4.0	2.0	3.0	6.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0063_gene_11182	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0493_gene_18036	1.0	0.0	2.0	1.0	4.0	0.0	1.0	1.0	2.0	0.0	0.0	5.0	3.0	2.0	1.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0494_gene_18036	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	1.0	2.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
