#queryid	MCT.f.0545	MCT.f.0546	MCT.f.0547	MCT.f.0548	MCT.f.0549	MCT.f.0550	MCT.f.0551	MCT.f.0552	MCT.f.0553	MCT.f.0554	MCT.f.0555	MCT.f.0556	MCT.f.0557	MCT.f.0558	MCT.f.0559	MCT.f.0560	MCT.f.0561	taxonomy
cazy_1313_gene_32764	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM11
cazy_1492_gene_3696	2.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	4.0	0.0	1.0	1.0	3.0	0.0	2.0	4.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0016_gene_10218	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0018_gene_10218	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0323_gene_14564	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0996_gene_25686	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0997_gene_25686	1.0	1.0	0.0	1.0	1.0	2.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1082_gene_27477	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1436_gene_35555	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1555_gene_4656	0.0	0.0	0.0	0.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	4.0	2.0	0.0	1.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
