food	cazyme	coef	id	fdr_p	p	cazy_cat	bin
Nuts	GH116	0.797802197802198	MCTs03	0.168723126741304	0.000628275822458177	GH	Positive (+/+ or -/-)
Fruits	GH140	0.832967032967033	MCTs03	0.168723126741304	0.00021655091041647	GH	Positive (+/+ or -/-)
Fruits	GH31	-0.793406593406593	MCTs03	0.168723126741304	0.000707534135618205	GH	Negative (+/-)
Fruits	GH97	0.793406593406593	MCTs03	0.168723126741304	0.000707534135618205	GH	Positive (+/+ or -/-)
Meats	GH117	-0.797802197802198	MCTs03	0.168723126741304	0.000628275822458177	GH	Negative (+/-)
Meats	GH125	0.789010989010989	MCTs03	0.168723126741304	0.000794614411654495	GH	Positive (+/+ or -/-)
Fruits	GH126	0.761764705882353	MCTs07	0.0901288225571768	0.00060534283807059	GH	Positive (+/+ or -/-)
Grains	CE14	0.729411764705882	MCTs07	0.143978034751529	0.00134307868238367	CE	Positive (+/+ or -/-)
Grains	CE11	0.767647058823529	MCTs07	0.0901288225571768	0.000516883524295922	CE	Positive (+/+ or -/-)
Grains	CBM20	0.841176470588235	MCTs07	0.0447590560994393	4.44290429431383e-05	CBM	Positive (+/+ or -/-)
Grains	GH1	-0.755882352941176	MCTs07	0.0922303926463874	0.000705890586909894	GH	Negative (+/-)
Grains	GH113	-0.779411764705882	MCTs07	0.0766233102894665	0.000371680236478756	GH	Negative (+/-)
Grains	GH25	-0.755882352941176	MCTs07	0.0922303926463874	0.000705890586909894	GH	Negative (+/-)
Grains	GH38	0.791176470588235	MCTs07	0.0749295168377816	0.00026194644808246	GH	Positive (+/+ or -/-)
Grains	GH42	-0.764705882352941	MCTs07	0.0901288225571768	0.000559676294356745	GH	Negative (+/-)
Grains	GH57	0.844117647058823	MCTs07	0.0447590560994393	3.93024273739987e-05	GH	Positive (+/+ or -/-)
Grains	GH92	0.723529411764706	MCTs07	0.158169599566469	0.00153448118982396	GH	Positive (+/+ or -/-)
Grains	GH94	-0.788235294117647	MCTs07	0.0749295168377816	0.000286465682391849	GH	Negative (+/-)
Grains	GT35	-0.764705882352941	MCTs07	0.0901288225571768	0.000559676294356745	GT	Negative (+/-)
Grains	GT9	0.729411764705882	MCTs07	0.143978034751529	0.00134307868238367	GT	Positive (+/+ or -/-)
Grains	PL22	0.838235294117647	MCTs07	0.0447590560994393	5.01034210068351e-05	PL	Positive (+/+ or -/-)
Sweets and Beverages	CBM20	0.816777263066049	MCTs07	0.0731848435824045	0.000112789178242289	CBM	Positive (+/+ or -/-)
Sweets and Beverages	GH1	-0.754967091806996	MCTs07	0.0922303926463874	0.000722700837900797	GH	Negative (+/-)
Sweets and Beverages	GH112	-0.782928835947996	MCTs07	0.0749295168377816	0.000335505299273649	GH	Negative (+/-)
Sweets and Beverages	GH113	-0.710816969479102	MCTs07	0.187088814807348	0.00202446851843772	GH	Negative (+/-)
Sweets and Beverages	GH125	0.793230531157838	MCTs07	0.0749295168377816	0.000245874781873768	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH25	-0.715231981711891	MCTs07	0.182805072595125	0.0018416928955479	GH	Negative (+/-)
Sweets and Beverages	GH57	0.782928835947996	MCTs07	0.0749295168377816	0.000335505299273649	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH88	0.763797116272575	MCTs07	0.0901288225571768	0.000573472819458265	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH92	0.809418909344733	MCTs07	0.0731848435824045	0.000145514816663813	GH	Positive (+/+ or -/-)
Sweets and Beverages	GT19	0.738778713620102	MCTs07	0.131415444281467	0.00107878349783294	GT	Positive (+/+ or -/-)
Vegetables	CE9	0.805882352941176	MCTs07	0.0731848435824045	0.000163846664736726	CE	Positive (+/+ or -/-)
Vegetables	GH112	0.711764705882353	MCTs07	0.187088814807348	0.00198404324776996	GH	Positive (+/+ or -/-)
Vegetables	GH125	-0.785294117647059	MCTs07	0.0749295168377816	0.000312853917886011	GH	Negative (+/-)
Vegetables	GH92	-0.732352941176471	MCTs07	0.143978034751529	0.00125495816615226	GH	Negative (+/-)
Milks	GT30	-0.853146853146853	MCTs13	0.167107803519193	0.000418117940414996	GT	Negative (+/-)
Sweets and Beverages	GH144	0.825174825174825	MCTs13	0.190114010635175	0.000951362855555507	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH28	0.825174825174825	MCTs13	0.190114010635175	0.000951362855555507	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH95	0.902097902097902	MCTs13	0.071914310783987	5.9978574465377e-05	GH	Positive (+/+ or -/-)
Sweets and Beverages	GT4	-0.867132867132867	MCTs13	0.155757203991958	0.000259811849861481	GT	Negative (+/-)
Vegetables	GH130	0.832167832167832	MCTs13	0.190114010635175	0.000785441677853611	GH	Positive (+/+ or -/-)
Grains	GH92	-0.747549019607843	MCTs14	0.172861350949038	0.000561238152431941	GH	Negative (+/-)
Meats	GH77	0.755828789814501	MCTs14	0.172861350949038	0.000448723592062831	GH	Positive (+/+ or -/-)
Milks	CBM48	0.816176470588235	MCTs14	0.079454832560871	6.44925588968109e-05	CBM	Positive (+/+ or -/-)
Milks	GH9	-0.791666666666667	MCTs14	0.0941096127503619	0.000152775345373964	GH	Negative (+/-)
Nuts	GH31	-0.745054945054945	MCTs15	0.19212267174933	0.00223003731674207	GH	Negative (+/-)
Nuts	GH32	-0.767032967032967	MCTs15	0.19212267174933	0.00136768238824561	GH	Negative (+/-)
Grains	CE14	0.727472527472527	MCTs15	0.19498210838261	0.00319061631898816	CE	Positive (+/+ or -/-)
Grains	GH95	-0.731868131868132	MCTs15	0.19498210838261	0.00292463094681192	GH	Negative (+/-)
Grains	GT83	0.740659340659341	MCTs15	0.19212267174933	0.00244519764044602	GT	Positive (+/+ or -/-)
Grains	GH5	-0.815384615384615	MCTs15	0.19212267174933	0.000379132238200581	GH	Negative (+/-)
Milks	GH31	0.753846153846154	MCTs15	0.19212267174933	0.00184472528925722	GH	Positive (+/+ or -/-)
Milks	CE1	0.758241758241758	MCTs15	0.19212267174933	0.00167300340702643	CE	Positive (+/+ or -/-)
Milks	GH5	-0.745054945054945	MCTs15	0.19212267174933	0.00223003731674207	GH	Negative (+/-)
Meats	GH36	0.810714285714286	MCTs16	0.115131733690992	0.000246007977972205	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH92	-0.785714285714286	MCTs16	0.193360657490428	0.000516454747570588	GH	Negative (+/-)
Vegetables	CE2	-0.825	MCTs16	0.115131733690992	0.000153235570905647	CE	Negative (+/-)
Vegetables	GH92	0.860714285714286	MCTs16	0.0712394284242838	3.80552502266473e-05	GH	Positive (+/+ or -/-)
Vegetables	PL15	-0.810714285714286	MCTs16	0.115131733690992	0.000246007977972205	PL	Negative (+/-)
Vegetables	GH125	-0.838235294117647	MCTs18	0.0266758538350018	2.64641407093272e-05	GH	Negative (+/-)
Fats	GH76	-0.8	MCTs19	0.19868763807722	0.000342269833035693	GH	Negative (+/-)
Vegetables	GH4	-0.828571428571429	MCTs19	0.157019189734145	0.00013524478013277	GH	Negative (+/-)
Legumes	AA6	-0.888111888111888	MCTs20	0.0456153947257567	0.00011413359814618	AA	Negative (+/-)
Fruits	GH117	0.853146853146853	MCTs20	0.100264682111516	0.000418117940414996	GH	Positive (+/+ or -/-)
Milks	GH33	0.853146853146853	MCTs20	0.100264682111516	0.000418117940414996	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH106	-0.93006993006993	MCTs20	0.0140309712864629	1.17022279286597e-05	GH	Negative (+/-)
Sweets and Beverages	GH130	0.902097902097902	MCTs20	0.0359571553919935	5.9978574465377e-05	GH	Positive (+/+ or -/-)
Vegetables	GT26	0.857843137254902	MCTs23	0.0151814436885423	1.06611261857741e-05	GT	Positive (+/+ or -/-)
Grains	GH77	0.811764705882353	MCTs24	0.165888132846767	0.00013432237477471	GH	Positive (+/+ or -/-)
Fats	PL1	0.760714285714286	MCTs27	0.174108259504903	0.000991128611982372	PL	Positive (+/+ or -/-)
Fats	PL10	0.785714285714286	MCTs27	0.12464910854822	0.000516454747570588	PL	Positive (+/+ or -/-)
Oils	CBM34	0.796428571428571	MCTs27	0.12464910854822	0.000380467678534635	CBM	Positive (+/+ or -/-)
Grains	GH24	-0.784629446464793	MCTs27	0.12464910854822	0.000532183101012324	GH	Negative (+/-)
Grains	PL11	0.811439108644683	MCTs27	0.103716963513082	0.000240397135790373	PL	Positive (+/+ or -/-)
Milks	CBM6	-0.785714285714286	MCTs27	0.12464910854822	0.000516454747570588	CBM	Negative (+/-)
Milks	GH84	-0.778571428571428	MCTs27	0.132161135495421	0.000627350129480357	GH	Negative (+/-)
Milks	GH85	0.775	MCTs27	0.132161135495421	0.000689645393951437	GH	Positive (+/+ or -/-)
Vegetables	GH139	-0.810714285714286	MCTs27	0.103716963513082	0.000246007977972205	GH	Negative (+/-)
Vegetables	GH143	-0.825	MCTs27	0.103716963513082	0.000153235570905647	GH	Negative (+/-)
Vegetables	GH42	-0.842857142857143	MCTs27	0.103716963513082	7.96719525272489e-05	GH	Negative (+/-)
