food	cazyme	coef	id	fdr_p	p	cazy_cat	bin
Organ meats sausages and lunchmeats	GH43	0.700247814	MCTs32	0.090877971	0.001747084	GH	Positive (+/+ or -/-)
Organ meats sausages and lunchmeats	GH5	0.687962765	MCTs32	0.098051898	0.002268389	GH	Positive (+/+ or -/-)
Organ meats sausages and lunchmeats	GH78	-0.793614189	MCTs32	0.029309807	0.000143254	GH	Negative (+/-)
Organ meats sausages and lunchmeats	GH94	0.687962765	MCTs32	0.098051898	0.002268389	GH	Positive (+/+ or -/-)
Organ meats sausages and lunchmeats	GT30	0.77887213	MCTs32	0.04217998	0.000229483	GT	Positive (+/+ or -/-)
Organ meats sausages and lunchmeats	GT9	0.712532863	MCTs32	0.079940444	0.001328434	GT	Positive (+/+ or -/-)
Milks and milk drinks	GH13	-0.741992594	MCTs32	0.06869915	0.000649161	GH	Negative (+/-)
Darkgreen vegetables	CE1	-0.724817913	MCTs32	0.078638732	0.000996135	CE	Negative (+/-)
Darkgreen vegetables	GH115	0.722360903	MCTs32	0.078638732	0.001056407	GH	Positive (+/+ or -/-)
Darkgreen vegetables	GH24	-0.729731932	MCTs32	0.078638732	0.000884091	GH	Negative (+/-)
Darkgreen vegetables	GT28	-0.710075853	MCTs32	0.081343586	0.001404761	GT	Negative (+/-)
Other vegetables	GH26	0.744473992	MCTs32	0.066704934	0.000608582	GH	Positive (+/+ or -/-)
Other vegetables	GH97	-0.710075853	MCTs32	0.081343586	0.001404761	GH	Negative (+/-)
Tomatoes and tomato mixtures	GH24	-0.705161834	MCTs32	0.087508897	0.00156826	GH	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	CE1	-0.734645952	MCTs32	0.077485232	0.000782679	CE	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	CE12	0.77641512	MCTs32	0.04217998	0.00024739	CE	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	CE3	-0.803442229	MCTs32	0.029309807	0.000102448	CE	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GH10	0.714989873	MCTs32	0.078638732	0.001255555	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH106	-0.815727278	MCTs32	0.029309807	6.56E-05	GH	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GH110	-0.714989873	MCTs32	0.078638732	0.001255555	GH	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GH115	0.847668406	MCTs32	0.029309807	1.74E-05	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH28	0.732188942	MCTs32	0.078638732	0.000832107	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH35	0.7715011	MCTs32	0.046313457	0.000286724	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH43	0.815727278	MCTs32	0.029309807	6.56E-05	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH5	0.707618844	MCTs32	0.084378184	0.00148466	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH51	0.685505755	MCTs32	0.098976705	0.002386535	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH67	0.746931001	MCTs32	0.066704934	0.000570499	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH78	-0.793614189	MCTs32	0.029309807	0.000143254	GH	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GH92	-0.722360903	MCTs32	0.078638732	0.001056407	GH	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GH94	0.697790804	MCTs32	0.093123659	0.001842578	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GH95	0.810813258	MCTs32	0.029309807	7.87E-05	GH	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GT30	0.803442229	MCTs32	0.029309807	0.000102448	GT	Positive (+/+ or -/-)
White potatoes and Puerto Rican starchy vegetables	GT5	-0.719903893	MCTs32	0.078638732	0.001119659	GT	Negative (+/-)
White potatoes and Puerto Rican starchy vegetables	GT94	-0.761673061	MCTs32	0.055706335	0.000381177	GT	Negative (+/-)
